publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	preceding_publication_title_id	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	publication_type	access_type	zdb_id	gokb_tipp_uid	gokb_title_uid
Advances in Accounting Education: Teaching and Curriculum Innovations	978-1-78441-588-4	978-1-78441-587-7							https://www.emerald.com/insight/publication/doi/10.1108/S1085-4622201516	Brenner	10.1108/S1085-4622201516		Fulltext		Emerald		2015-01-05	2015-01-05	16		Rupert		Monograph	P		b686c409-c3b9-4dc3-a9f3-d8933d56b947	b8dd5596-eb41-4c9e-8fc4-55024471d7e4
Sustainable Logistics	978-1-78441-062-9	978-1-78441-061-2							https://www.emerald.com/insight/publication/doi/10.1108/S2044-994120146	Cullinane	10.1108/S2044-994120146		Fulltext		Emerald		2014-12-04	2014-12-04	6		Macharis		Monograph	P		29966e0d-587c-4d16-af08-6994a0a19e9e	72d73097-86c7-493c-afec-a51f2bb7e50b
Accountability and Social Accounting for Social and Non-Profit Organizations	978-1-78441-005-6	978-1-78441-004-9							https://www.emerald.com/insight/publication/doi/10.1108/S1041-7060201417	Defourny	10.1108/S1041-7060201417		Fulltext		Emerald		2014-11-27	2014-11-27	17		Costa		Monograph	P		02b0d8ab-e1af-472f-98e6-7bf97e1f5040	05fb096a-987f-40e6-b984-345a7e1b8405
Advancing Research Methodology in the African Context: Techniques, Methods, and Designs	978-1-78441-490-0	978-1-78441-489-4							https://www.emerald.com/insight/publication/doi/10.1108/S1479-8387201410	Zoogah	10.1108/S1479-8387201410		Fulltext		Emerald		2014-11-26	2014-11-26	10		Zoogah		Monograph	P		be54399c-100a-4975-acb2-a5daace42d3b	f90c123d-8aa9-46a1-bb5f-2ef3e9961c37
The Physicality of Leadership: Gesture, Entanglement, Taboo, Possibilities	978-1-78441-290-6	978-1-78441-289-0							https://www.emerald.com/insight/publication/doi/10.1108/S1479-357120146	Küpers	10.1108/S1479-357120146		Fulltext		Emerald		2014-11-24	2014-11-24	6		Ladkin		Monograph	P		1bdae271-97c5-45e6-9c69-19cffabf3562	8ba08054-05a6-4b94-9fcf-910b89a671e9
Consumer Culture Theory	978-1-78441-158-9	978-1-78441-157-2							https://www.emerald.com/insight/publication/doi/10.1108/S0885-2111201416	Lambert	10.1108/S0885-2111201416		Fulltext		Emerald		2014-11-22	2014-11-22	16		Schouten		Monograph	P		91929c94-c471-4222-8fe8-88624f74380d	55411ef4-74b4-47c7-a75a-d4865b4ecc69
Essays in Honor of Peter C. B. Phillips	978-1-78441-183-1	978-1-78441-182-4							https://www.emerald.com/insight/publication/doi/10.1108/S0731-9053201433	Chao	10.1108/S0731-9053201433		Fulltext		Emerald		2014-11-21	2014-11-21	33		Chang		Monograph	P		1c49fcb3-c2df-4341-801e-88f13cf71758	16c8816b-1749-4ec4-ab1c-531725273625
International Perspectives on Participation	978-1-78441-169-5	978-1-78441-293-7							https://www.emerald.com/insight/publication/doi/10.1108/S0885-3339201415	Bryson	10.1108/S0885-3339201415		Fulltext		Emerald		2014-11-21	2014-11-21	15		Ortega		Monograph	P		6f512d74-94b5-4672-b8a5-07b0ecb43070	e63bd6f7-43f4-4f32-8df4-0e20760121c9
Bayesian Model Comparison	978-1-78441-185-5	978-1-78441-184-8							https://www.emerald.com/insight/publication/doi/10.1108/S0731-9053201434	Belmonte	10.1108/S0731-9053201434		Fulltext		Emerald		2014-11-19	2014-11-19	34		Jeliazkov		Monograph	P		1de2188c-404f-41e6-91d9-abad88415817	df12b87a-94a7-4a1d-be28-791e2d20ba37
Advances in Taxation	978-1-78441-120-6	978-1-78441-119-0							https://www.emerald.com/insight/publication/doi/10.1108/S1058-7497201421	Downs	10.1108/S1058-7497201421		Fulltext		Emerald		2014-11-18	2014-11-18	21		Stock		Monograph	P		c0f95edb-2d46-46cf-a825-f1e88c22cd6e	f6963510-0246-4d52-96ae-cc267717e36a
Corporate Governance in the US and Global Settings	978-1-78441-292-0	978-1-78441-291-3							https://www.emerald.com/insight/publication/doi/10.1108/S1569-3732201417	Hasan	10.1108/S1569-3732201417		Fulltext		Emerald		2014-11-14	2014-11-14	17		John		Monograph	P		de37dfb5-7da6-4952-ae62-87cddf679581	45545534-e075-4278-bc1d-784a0c5868f5
Globalization and the Environment of China	978-1-78441-179-4	978-1-78441-178-7							https://www.emerald.com/insight/publication/doi/10.1108/S1574-8715201414	Bu	10.1108/S1574-8715201414		Fulltext		Emerald		2014-11-13	2014-11-13	14		Bu		Monograph	P		1f987e79-0505-4f02-8ee4-b250e5b0b5af	e96784fa-5cfb-4194-8f10-1676fd9da566
Experiments in Macroeconomics	978-1-78441-195-4	978-1-78441-194-7							https://www.emerald.com/insight/publication/doi/10.1108/S0193-2306201417	Duffy	10.1108/S0193-2306201417		Fulltext		Emerald		2014-11-12	2014-11-12	17		Duffy		Monograph	P		0a94d073-a8ca-45fa-9f42-00e39b0144e4	83373521-08c7-41e3-a0c8-527833d1b231
Advances in Business and Management Forecasting	978-1-78441-209-8	978-1-78441-208-1							https://www.emerald.com/insight/publication/doi/10.1108/S1477-4070201410	Lindsey	10.1108/S1477-4070201410		Fulltext		Emerald		2014-11-12	2014-11-12	10		Lawrence		Monograph	P		920d0ca4-f2a6-47a8-9b8a-f972272a1b6c	3b9e2687-3a55-4a69-a4fc-7f08d16ef342
Emerging Market Firms in the Global Economy	978-1-78441-066-7	978-1-78441-065-0							https://www.emerald.com/insight/publication/doi/10.1108/S1569-3767201415	Bala Subrahmanya	10.1108/S1569-3767201415		Fulltext		Emerald		2014-11-11	2014-11-11	15		Pattnaik		Monograph	P		559f35b1-9ae5-4029-bd24-1b63e587700c	f68bd5b6-ac76-4be0-9667-c30a3927c7f0
Factors Affecting Worker Well-being: The Impact of Change in the Labor Market	978-1-78441-150-3	978-1-78441-149-7							https://www.emerald.com/insight/publication/doi/10.1108/S0147-9121201440	Bampasidou	10.1108/S0147-9121201440		Fulltext		Emerald		2014-11-10	2014-11-10	40		Polachek		Monograph	P		cc922feb-4003-4001-a1de-c843f534158d	7f3642a8-2192-441a-a96c-bd16afb453e0
Sraffa and Althusser Reconsidered; Neoliberalism Advancing in South Africa, England, and Greece	978-1-78441-007-0	978-1-78441-006-3							https://www.emerald.com/insight/publication/doi/10.1108/S0161-7230201429	Carter	10.1108/S0161-7230201429		Fulltext		Emerald		2014-10-29	2014-10-29	29		Zarembka		Monograph	P		c4c3db12-b8e5-4d9b-9a09-e5136363e6b9	2513170b-6b21-4f2e-b2ed-0725e236e0d5
Handbook of Microsimulation Modelling	978-1-78350-569-2	978-1-78350-570-8							https://www.emerald.com/insight/publication/doi/10.1108/S0573-85552014293	O’Donoghue	10.1108/S0573-85552014293		Fulltext		Emerald		2014-10-29	2014-10-29	293		O’Donoghue		Monograph	P		46f5478d-346e-448a-b92e-fb1e2a7261e0	348e0881-b1cc-481a-b6df-c8709ef34974
A Focused Issue on Building New Competences in Dynamic Environments	978-1-78441-275-3	978-1-78441-274-6							https://www.emerald.com/insight/publication/doi/10.1108/S1744-211720147	Fink	10.1108/S1744-211720147		Fulltext		Emerald		2014-10-27	2014-10-27	7		Sanchez		Monograph	P		277edd49-f92a-42a4-84ee-c55e98329069	9cb6dfc4-aa7d-45f1-b262-64e2f994ecb2
Multinational Enterprises, Markets and Institutional Diversity	978-1-78441-422-1	978-1-78441-421-4							https://www.emerald.com/insight/publication/doi/10.1108/S1745-886220149	Wisgickl	10.1108/S1745-886220149		Fulltext		Emerald		2014-10-25	2014-10-25	9		Verbeke		Monograph	P		916fda31-c4e0-4bea-9b86-93bb8cac4d11	025c1f0a-1073-4acb-80c0-57ef5a358562
European Public Leadership in Crisis?	978-1-78350-901-0	978-1-78350-902-7							https://www.emerald.com/insight/publication/doi/10.1108/S2045-794420143	Headlam	10.1108/S2045-794420143		Fulltext		Emerald		2014-10-18	2014-10-18	3		Diamond		Monograph	P		4abd28fd-9dd0-480d-8c2b-c30547246c70	b9cfc4db-4c59-471d-b218-6e6f50914171
Entangled Political Economy	978-1-78441-102-2	978-1-78441-101-5							https://www.emerald.com/insight/publication/doi/10.1108/S1529-2134201418	Bono	10.1108/S1529-2134201418		Fulltext		Emerald		2014-10-17	2014-10-17	18		Horwitz		Monograph	P		2e0e3ba3-0b41-4417-aa44-165a1d2ff183	b22b541a-54a7-4dfe-a6c0-c02e60637256
Population Health Management in Health Care Organizations	978-1-78441-197-8	978-1-78441-196-1							https://www.emerald.com/insight/publication/doi/10.1108/S1474-8231201416	Carlton	10.1108/S1474-8231201416		Fulltext		Emerald		2014-10-16	2014-10-16	16		Hefner		Monograph	P		e3ae28b0-2d6a-494e-a7a5-e074ad6bca09	3658aa48-8683-4b43-873d-591964023767
Accounting for the Environment: More Talk and Little Progress	978-1-78190-303-2	978-1-78190-304-9							https://www.emerald.com/insight/publication/doi/10.1108/S1479-359820145	Ditillo	10.1108/S1479-359820145		Fulltext		Emerald		2014-10-16	2014-10-16	5		Freedman		Monograph	P		847856e6-3150-455e-a2df-ca1495b0ce28	0e418057-dba7-4fd0-a2ea-2b60a84028c8
A Research Annual	978-1-78441-154-1	978-1-78441-153-4							https://www.emerald.com/insight/publication/doi/10.1108/S0743-4154201432	Felice	10.1108/S0743-4154201432		Fulltext		Emerald		2014-10-10	2014-10-10	32		Fiorito		Monograph	P		47312690-377a-4d6d-a35e-3315e4c1bbb2	4aa902ac-156d-458f-bc03-dfc017af1405
Achieving Ethical Excellence	978-1-78441-245-6	978-1-78441-246-3							https://www.emerald.com/insight/publication/doi/10.1108/S1529-2096201412	Naimo	10.1108/S1529-2096201412		Fulltext		Emerald		2014-10-04	2014-10-04	12		Schwartz		Monograph	P		7cb7a64b-5452-4ebd-bc44-8734d9db6bb3	0241941a-a689-4eab-82b7-1443f69feafc
Risk Management Post Financial Crisis: A Period of Monetary Easing	978-1-78441-027-8	978-1-78441-026-1							https://www.emerald.com/insight/publication/doi/10.1108/S1569-3759201496	Demir	10.1108/S1569-3759201496		Fulltext		Emerald		2014-10-01	2014-10-01	96		Batten		Monograph	P		45572571-241d-47ce-86bc-8310722bd8d0	b9851c30-1b5a-4bea-8207-1ecb5261881d
Economic Well-Being and Inequality: Papers from the Fifth ECINEQ Meeting	978-1-78350-567-8	978-1-78350-556-2							https://www.emerald.com/insight/publication/doi/10.1108/S1049-2585201422	Chen	10.1108/S1049-2585201422		Fulltext		Emerald		2014-09-30	2014-09-30	22		Bishop		Monograph	P		05a066a1-e734-4d7f-bdb1-fd6987e27c8d	005e8dca-bf09-4e3f-9fad-8ddac956b12c
Pushing the Boundaries: Multiteam Systems in Research and Practice	978-1-78350-313-1	978-1-78350-314-8							https://www.emerald.com/insight/publication/doi/10.1108/S1534-0856201416	Burke	10.1108/S1534-0856201416		Fulltext		Emerald		2014-09-24	2014-09-24	16		Shuffler		Monograph	P		f843c17c-81e6-4dc6-9117-8ce68c0497a4	5ac06f6e-1396-4c1f-92dc-bd5a7d1bfefe
Advances in Management Accounting	978-1-78441-166-4	978-1-78441-165-7							https://www.emerald.com/insight/publication/doi/10.1108/S1474-7871201424	Lau	10.1108/S1474-7871201424		Fulltext		Emerald		2014-09-23	2014-09-23	24				Monograph	P		63826681-f26b-4c51-99b3-123042669052	c17c1588-b010-4d6f-b32e-3d7704a4daa6
Local Disaster Risk Management in a Changing Climate: Perspective from Central America	978-1-78350-935-5	978-1-78350-936-2							https://www.emerald.com/insight/publication/doi/10.1108/S2040-7262201417	Hori	10.1108/S2040-7262201417		Fulltext		Emerald		2014-09-23	2014-09-23	17		Hori		Monograph	P		a9d8709b-2228-466f-a711-231f9bc3c521	55fb2c56-5e03-4fe8-870d-9198321ed59e
Advances in Hospitality and Leisure	978-1-78441-174-9	978-1-78441-173-2							https://www.emerald.com/insight/publication/doi/10.1108/S1745-3542201410	Legrand	10.1108/S1745-3542201410		Fulltext		Emerald		2014-09-20	2014-09-20	10		Chen		Monograph	P		04c23be0-5608-49f7-9db9-26927be9c913	eed47ee7-6c4c-4d4d-b4c9-0073da680a81
Finance and Strategy	978-1-78350-493-0	978-1-78350-494-7							https://www.emerald.com/insight/publication/doi/10.1108/S0742-3322201431	Alshwer	10.1108/S0742-3322201431		Fulltext		Emerald		2014-09-19	2014-09-19	31		Villalonga		Monograph	P		2f89e575-8516-48b5-ae41-73589e98e0cf	14a07d69-e1b9-426d-a407-5118de312d8e
Advances in Mergers and Acquisitions	978-1-78350-970-6	978-1-78350-992-8							https://www.emerald.com/insight/publication/doi/10.1108/S1479-361X201413	King	10.1108/S1479-361X201413		Fulltext		Emerald		2014-09-19	2014-09-19	13		Finkelstein		Monograph	P		9a841ca7-7de7-4ffb-876f-107f9512195f	df82cde8-0e9e-4967-b706-a4060a13584d
The Role of Demographics in Occupational Stress and Well Being	978-1-78350-647-7	978-1-78350-646-0							https://www.emerald.com/insight/publication/doi/10.1108/S1479-3555201412	Köllen	10.1108/S1479-3555201412		Fulltext		Emerald		2014-09-17	2014-09-17	12		Perrewé		Monograph	P		ac49814d-4705-41fa-919c-c10a48c0b4fb	da623bb4-cfae-4d92-93aa-ed2c70129de3
New Directions in Children’s and Adolescents’ Information Behavior Research	978-1-78350-813-6	978-1-78350-814-3							https://www.emerald.com/insight/publication/doi/10.1108/S1876-0562201410	Agarwal	10.1108/S1876-0562201410		Fulltext		Emerald		2014-09-17	2014-09-17	10		Bilal		Monograph	P		4e9daf7d-1ba3-4f8a-b816-776ef9d0b509	32f393b3-24b1-4cce-bd56-277b436a99ca
Corporate Social Responsibility and Sustainability: Emerging Trends in Developing Economies	978-1-78441-152-7	978-1-78441-151-0							https://www.emerald.com/insight/publication/doi/10.1108/S2043-905920148	Wong	10.1108/S2043-905920148		Fulltext		Emerald		2014-09-17	2014-09-17	8		Eweje		Monograph	P		7fb47408-d9b4-4478-941a-458cecb2ec84	a31b7620-b247-4319-b07c-bc9ba1f3aaa7
Production, Consumption, Business and the Economy: Structural Ideals and Moral Realities	978-1-78441-056-8	978-1-78441-055-1							https://www.emerald.com/insight/publication/doi/10.1108/S0190-1281201434	Moeran	10.1108/S0190-1281201434		Fulltext		Emerald		2014-09-16	2014-09-16	34		Wood		Monograph	P		e38cd0ea-02cb-4222-b922-d1d44c20680b	203163da-fa9d-402f-bd87-6a1e2d68e7f5
Hyogo Framework for Action and Urban Disaster Resilience	978-1-78350-927-0	978-1-78350-928-7							https://www.emerald.com/insight/publication/doi/10.1108/S2040-7262201416		10.1108/S2040-7262201416		Fulltext		Emerald		2014-09-16	2014-09-16	16		Matsuoka		Monograph	P		f3d5ae1f-e26b-4c08-8385-3ad9d3fc4ffd	66e3da6a-89ed-4a4b-8d74-f514a82a09d5
Research on Professional Responsibility and Ethics in Accounting	978-1-78441-164-0	978-1-78441-163-3							https://www.emerald.com/insight/publication/doi/10.1108/S1574-0765201418	Rennie	10.1108/S1574-0765201418		Fulltext		Emerald		2014-09-15	2014-09-15	18		Jeffrey		Monograph	P		d7bb7225-87bb-4930-b10c-c750d33f70d6	8173e398-9298-4475-b49a-cc492a69e795
The Contribution of Fiction to Organizational Ethics	978-1-78350-949-2	978-1-78350-948-5							https://www.emerald.com/insight/publication/doi/10.1108/S1529-2096201411	Koehn	10.1108/S1529-2096201411		Fulltext		Emerald		2014-09-12	2014-09-12	11		Schwartz		Monograph	P		e0bbcdbe-ff56-40ea-a1c3-d3d531fd5910	d56f7485-d504-4c54-bd3a-0af73af53760
Parking Issues and Policies	978-1-78350-919-5	978-1-78350-920-1							https://www.emerald.com/insight/publication/doi/10.1108/S2044-994120145	Bates	10.1108/S2044-994120145		Fulltext		Emerald		2014-09-05	2014-09-05	5		Ison		Monograph	P		a94da0bc-90c1-490d-aa33-a74a3b89ebee	75cc51ff-9787-47d2-b4d4-97cbd0cfc7ec
Accounting in Latin America	978-1-78441-068-1	978-1-78441-067-4							https://www.emerald.com/insight/publication/doi/10.1108/S1479-3563201414	Akisik	10.1108/S1479-3563201414		Fulltext		Emerald		2014-09-04	2014-09-04	14		Wanderley		Monograph	P		a75c7e68-182d-470e-b842-936bd15f70cf	05cbb732-e786-490b-91d3-5d6ef314edf4
Shopper Marketing and the Role of In-Store Marketing	978-1-78441-001-8	978-1-78441-000-1							https://www.emerald.com/insight/publication/doi/10.1108/S1548-6435201411	Burke	10.1108/S1548-6435201411		Fulltext		Emerald		2014-09-02	2014-09-02	11		Grewal		Monograph	P		d8e1220c-58d3-4cce-98cc-5f4fea97699e	61d9efbb-7e85-4d3b-ac83-42d329f5cfc8
Preference Measurement in Health	978-1-78441-029-2	978-1-78441-028-5							https://www.emerald.com/insight/publication/doi/10.1108/S0731-2199201424	Dickie	10.1108/S0731-2199201424		Fulltext		Emerald		2014-08-27	2014-08-27	24		Blomquist		Monograph	P		0250d229-0366-489a-a862-cded4959b893	af1e4fc0-570a-49ce-96ad-4ed5f16b41fb
Field Guide to Case Study Research in Business-to-business Marketing and Purchasing	978-1-78441-080-3	978-1-78441-079-7							https://www.emerald.com/insight/publication/doi/10.1108/S1069-0964201421	Marshall	10.1108/S1069-0964201421		Fulltext		Emerald		2014-08-27	2014-08-27	21		Woodside		Monograph	P		7a7685b8-80bb-4681-bee1-a4d8ed1586cf	e1efc157-4e04-482c-aa8d-ff835e54ea70
The Developing Role of Islamic Banking and Finance: From Local to Global Perspectives	978-1-78350-817-4	978-1-78350-818-1							https://www.emerald.com/insight/publication/doi/10.1108/S1569-3759%282014%2995	Muneeza	10.1108/S1569-3759(2014)95		Fulltext		Emerald		2014-08-25	2014-08-25	95		Beseiso		Monograph	P		aa8e8eb7-4f35-453f-b3c5-38a4538ee359	aa7af829-11b8-4b5e-ab48-5a9a4ba7e1f9
Advances in Accounting Education: Teaching and Curriculum Innovations	978-1-78190-840-2	978-1-78190-841-9							https://www.emerald.com/insight/publication/doi/10.1108/S1085-4622%282013%2914	Archambeault	10.1108/S1085-4622(2013)14		Fulltext		Emerald		2014-08-23	2014-08-23	14		Feldmann		Monograph	P		e6b1f7ba-ca61-46bb-8053-67344cbdcea7	7f617b1f-4130-4a3c-a186-a653f17f17b5
Advances in Management Accounting	978-1-78190-842-6	978-1-78190-843-3							https://www.emerald.com/insight/publication/doi/10.1108/S1474-7871%282013%2922	Euske	10.1108/S1474-7871(2013)22		Fulltext		Emerald		2014-08-23	2014-08-23	22		Epstein		Monograph	P		08d400cb-9147-4a8d-a67e-8388913a5f76	1c3835b7-9862-4e50-a4c0-d9c7fa50779c
Advances in Accounting Behavioral Research	978-1-78350-445-9	978-1-78350-446-6							https://www.emerald.com/insight/publication/doi/10.1108/S1475-1488201417	Brink	10.1108/S1475-1488201417		Fulltext		Emerald		2014-08-22	2014-08-22	17		Schmitt		Monograph	P		c86c678b-e8a5-4dec-9839-abc62413ed22	42080e2d-1756-4b07-9187-a6566db24665
Deep Knowledge of B2B Relationships Within and Across Borders	978-1-78190-858-7	978-1-78190-859-4							https://www.emerald.com/insight/publication/doi/10.1108/S1069-0964%282013%2920	Kaunonen	10.1108/S1069-0964(2013)20		Fulltext		Emerald		2014-08-16	2014-08-16	20		Woodside		Monograph	P		7edb5ac7-e33d-41c7-96f4-eda56e6ac630	d37b35a0-143d-4fcd-83c1-092cb90b06dc
The Evolving Boundaries of Defence: An Assessment of Recent Shifts in Defence Activities	978-1-78350-974-4	978-1-78350-965-2							https://www.emerald.com/insight/publication/doi/10.1108/S1572-8323201423	Bellais	10.1108/S1572-8323201423		Fulltext		Emerald		2014-08-14	2014-08-14	23		Bellais		Monograph	P		02b82193-e191-462e-877c-c02067b7e936	28c3d02e-8fa5-48d1-a43f-600e1d94043a
Emotions and the Organizational Fabric	978-1-78350-939-3	978-1-78350-934-8							https://www.emerald.com/insight/publication/doi/10.1108/S1746-9791201410	Kipfelsberger	10.1108/S1746-9791201410		Fulltext		Emerald		2014-08-14	2014-08-14	10		Ashkanasy		Monograph	P		be2b430b-5d32-4a8d-8c3e-a782c7d95daa	c8f3d03d-5029-4bb7-9496-79054b5c625d
Tourists’ Behaviors and Evaluations	978-1-78441-172-5	978-1-78441-171-8							https://www.emerald.com/insight/publication/doi/10.1108/S1871-317320149	Choi	10.1108/S1871-317320149		Fulltext		Emerald		2014-08-14	2014-08-14	9		Woodside		Monograph	P		051a1347-0601-4c91-8608-3058ac833fbb	e085cdd2-341d-48cc-bdea-750eb73e5947
Human Resource Management, Social Innovation and Technology	978-1-78441-130-5	978-1-78441-129-9							https://www.emerald.com/insight/publication/doi/10.1108/S1877-6361201414	Meijerink	10.1108/S1877-6361201414		Fulltext		Emerald		2014-08-14	2014-08-14	14		Bondarouk		Monograph	P		c9834fe4-4157-4f9d-8a32-762ba2a562c8	11696591-0175-441b-92cd-ecfded98c2ea
Tourism as an Instrument for Development: A Theoretical and Practical Study	978-0-85724-679-0	978-0-85724-680-6							https://www.emerald.com/insight/publication/doi/10.1108/S2042-144320145	Fayos-Solà	10.1108/S2042-144320145		Fulltext		Emerald		2014-08-14	2014-08-14	5		Fayos-solà		Monograph	P		0b18f38b-f1da-4bfd-8286-a8940e3a1001	7f2153ce-bdad-4c66-b013-c4a76dc6fb93
Academic Entrepreneurship: Creating an Entrepreneurial Ecosystem	978-1-78350-984-3	978-1-78350-983-6							https://www.emerald.com/insight/publication/doi/10.1108/S1074-7540201416	Simmons	10.1108/S1074-7540201416		Fulltext		Emerald		2014-08-13	2014-08-13	16		Corbett		Monograph	P		d2b0b56a-a81a-4ad2-950d-7314ade725e5	a0996e12-4b3b-4a03-92db-149535e703d7
Orchestration of the Global Network Organization	978-1-78350-953-9	978-1-78350-954-6							https://www.emerald.com/insight/publication/doi/10.1108/S1571-5027201427	Michailova	10.1108/S1571-5027201427		Fulltext		Emerald		2014-08-13	2014-08-13	27		Pedersen		Monograph	P		4142aa57-b1a5-4c87-9a79-4a4b71493114	b4708f10-5a13-4b32-bcb4-26973ee3b930
Shared Services as a New Organizational Form	978-1-78350-535-7	978-1-78350-536-4							https://www.emerald.com/insight/publication/doi/10.1108/S1877-6361201413	Bondarouk	10.1108/S1877-6361201413		Fulltext		Emerald		2014-08-13	2014-08-13	13		Bondarouk		Monograph	P		1a4ffeae-9436-4daa-9691-c3ba617eaa5f	0ebf7a76-41d0-411e-aba8-5839e29ef1d3
Social Entrepreneurship and Research Methods	978-1-78441-142-8	978-1-78441-141-1							https://www.emerald.com/insight/publication/doi/10.1108/S1479-838720149	Gras	10.1108/S1479-838720149		Fulltext		Emerald		2014-08-12	2014-08-12	9		Short		Monograph	P		eebf0663-8e52-46fb-bd40-d42f5096114b	5999ecf5-93a0-4b0c-9c76-04e8fc97ad11
Information Experience: Approaches to Theory and Practice	978-1-78350-815-0	978-1-78350-816-7							https://www.emerald.com/insight/publication/doi/10.1108/S1876-056220149	Yates	10.1108/S1876-056220149		Fulltext		Emerald		2014-08-12	2014-08-12	9		Bruce		Monograph	P		7b9be3e5-0e1e-4979-be67-e862b8ba8970	74462a01-f925-4b0c-acfc-f844335bc512
Reconfiguring the Ecosystem for Sustainable Healthcare	978-1-78441-035-3	978-1-78441-034-6							https://www.emerald.com/insight/publication/doi/10.1108/S2045-060520144	Mohrman	10.1108/S2045-060520144		Fulltext		Emerald		2014-08-12	2014-08-12	4		Mohrman		Monograph	P		18280987-8bdd-4408-9c07-1360c5f65f43	ec51f923-341e-4ab3-afe7-bf5bfad7c591
Mergers and Alliances: The Operational View and Cases	978-1-78350-054-3	978-1-78350-055-0							https://www.emerald.com/insight/publication/doi/10.1108/S0065-2830%282013%2937	Decker	10.1108/S0065-2830(2013)37		Fulltext		Emerald		2014-08-11	2014-08-11	37		Woodsworth		Monograph	P		7f2636dc-d01b-4f61-944e-4846e8a532e6	05fe1e98-56d3-470b-8319-b4a6a1b3d065
Multidisciplinary Insights from New AIB Fellows	978-1-78441-039-1	978-1-78441-038-4							https://www.emerald.com/insight/publication/doi/10.1108/S1064-4857201416	Luo	10.1108/S1064-4857201416		Fulltext		Emerald		2014-08-11	2014-08-11	16		Boddewyn		Monograph	P		d8e3b166-e3f0-479c-b6f6-13c3d2a83856	d5795d52-5780-4a9b-8338-7c27b67f2481
Advances in Accounting Behavioral Research	978-1-78190-838-9	978-1-78190-838-9							https://www.emerald.com/insight/publication/doi/10.1108/S1475-1488%282013%2916	Chen	10.1108/S1475-1488(2013)16		Fulltext		Emerald		2014-08-08	2014-08-08	16		Schmitt		Monograph	P		97f2534f-53da-4e30-b35b-442783032e2b	e669bfa9-46e7-4b6d-a986-d5c0fe5eebc3
Enterprising Places: Leadership and Governance Networks	978-1-78350-642-2	978-1-78350-641-5							https://www.emerald.com/insight/publication/doi/10.1108/S2040-724620143	Braga	10.1108/S2040-724620143		Fulltext		Emerald		2014-08-08	2014-08-08	3		Pugalis		Monograph	P		1f7beb75-b70e-4fe4-818a-86ebbb4a755c	6913af0f-7a9a-4b4d-8262-e092eedff5e5
Safety Nets and Benefit Dependence	978-1-78190-936-2	978-1-78441-110-7							https://www.emerald.com/insight/publication/doi/10.1108/S0147-9121201439	Cappellari	10.1108/S0147-9121201439		Fulltext		Emerald		2014-08-06	2014-08-06	39		Carcillo		Monograph	P		0048f4b0-3d16-4d2d-adf1-0f759994fec6	e550e5c1-ab22-48b1-b02d-f393b2441c79
The Economics of International Airline Transport	978-1-78350-639-2	978-1-78350-640-8							https://www.emerald.com/insight/publication/doi/10.1108/S2212-160920144	Peoples	10.1108/S2212-160920144		Fulltext		Emerald		2014-08-06	2014-08-06	4		Peoples		Monograph	P		d8ec62c2-6b38-4004-836c-8c0ec9a71d6f	6124d752-09c1-4042-ae8f-2f857932a82a
Exploration and Exploitation in Early Stage Ventures and SMEs	978-1-78350-655-2	978-1-78350-656-9							https://www.emerald.com/insight/publication/doi/10.1108/S1479-067X201414	Bryant	10.1108/S1479-067X201414		Fulltext		Emerald		2014-08-05	2014-08-05	14		Stettner		Monograph	P		8e9bf97e-6299-4b12-9f63-ac424975a338	387c7bb5-e372-44c4-a584-50046f7da262
Tourists’ Perceptions and Assessments	978-1-78350-618-7	978-1-78350-617-0							https://www.emerald.com/insight/publication/doi/10.1108/S1871-317320148	Ert	10.1108/S1871-317320148		Fulltext		Emerald		2014-08-04	2014-08-04	8		Woodside		Monograph	P		b160024e-a259-4a39-b5f6-80072629d756	a966353a-316b-4bd7-9ea1-449d4ec77c04
Exploring Rural Enterprise: New Perspectives on Research, Policy & Practice	978-1-78441-112-1	978-1-78441-109-1							https://www.emerald.com/insight/publication/doi/10.1108/S2040-724620144	Sanders	10.1108/S2040-724620144		Fulltext		Emerald		2014-08-04	2014-08-04	4		Henry		Monograph	P		c296c442-f6b6-4cf2-8f05-b07b30d4fe1d	a5bcaf25-88c1-4b75-af3e-99d6841152d8
Advances in Management Accounting	978-1-78350-632-3	978-1-78350-631-6							https://www.emerald.com/insight/publication/doi/10.1108/S1474-7871201423	Guffey	10.1108/S1474-7871201423		Fulltext		Emerald		2014-08-01	2014-08-01	23		Epstein		Monograph	P		3e2592c3-0cb1-4e86-8543-59ace2c2b13a	d4f80009-5d9e-4bb3-9478-8e0cc39d84f6
Advances in Global Leadership	978-1-78350-479-4	978-1-78350-480-0							https://www.emerald.com/insight/publication/doi/10.1108/S1535-120320148	Osland	10.1108/S1535-120320148		Fulltext		Emerald		2014-07-29	2014-07-29	8		Osland		Monograph	P		baed9562-b238-4985-92fc-82947b4a5481	94b0a6c1-abfb-4083-baa6-06d6f8033fe2
